sorting number	name	instance of	date of birth	date of death	sex	occupation or domain	geographic circles	Bibliotheque nationale de France Catalogue	data.bnf	Wikidata	ISNI	VIAF	Annuaire prosopographique : la France savante	In Who Was Who in Egyptology	Note
210	Guillaume III des Pays-Bas	human	1817	1890	male	monarch	Netherlands	https://catalogue.bnf.fr/ark:/12148/cb16077720p	https://data.bnf.fr/ark:/12148/cb16077720p	https://www.wikidata.org/wiki/Q125649	http://isni.org/isni/0000000066757576	http://viaf.org/viaf/286321103		no	
211	Guillemin	human	unknown	unknown	unknown	unknown	unknown							no	Presumably François (https://cths.fr/an/savant.php?id=101523) or Henri (https://cths.fr/an/savant.php?id=101532), both naturalists from Chalon-sur-Saône
212	Guimet, Émile	human	1836	1918	male	collector ; archaeologist ; businessman ; orientalist ; curator	France ; Rhône	https://catalogue.bnf.fr/ark:/12148/cb11906473m	https://data.bnf.fr/ark:/12148/cb11906473m	https://www.wikidata.org/wiki/Q285963	http://isni.org/isni/0000000108761128	http://viaf.org/viaf/19678520	https://cths.fr/an/savant.php?id=1050	yes	
213	Halévy, Joseph	human	1827	1917	male	traveller ; anthropologist ; archaeologist ; professor ; assyriologist	France	https://catalogue.bnf.fr/ark:/12148/cb135357215	https://data.bnf.fr/ark:/12148/cb135357215	https://www.wikidata.org/wiki/Q601964	http://isni.org/isni/0000000066296191	http://viaf.org/viaf/24763420		no	
214	Halévy, Jules	human	1827	1917	male	traveller ; anthropologist ; archaeologist ; professor ; assyriologist	France			https://www.wikidata.org/wiki/Q601964	http://isni.org/isni/0000000066296191	http://viaf.org/viaf/24763420 		no	References are for Joseph Halévy (BiEg 9, p. CXXVIII, cites only 'J. Halévy', and Joseph seems far more relevant...?)
215	Hallberger, Eduard	human	1822	1880	male	publisher	Germany			https://www.wikidata.org/wiki/Q1288576	http://isni.org/isni/0000000024269670	http://viaf.org/viaf/15561070		no	German publisher (1822-1880)
216	Harris, Anthony Charles	human	1790	1869	male	archaeologist ; collector ; egyptologist ; traveller ; antiquarian seller	United Kingdom ; Egypt			https://www.wikidata.org/wiki/Q526842	http://isni.org/isni/0000000074120129	http://viaf.org/viaf/91674207		yes	
217	Harris, Selima	human	1827	1899	female	collector	Egypt ; United Kingdom							yes	
218	Hengen	human	unknown	unknown	unknown	unknown	unknown							no	
219	Herold, Albert L.	human	unknown	unknown	male	unknown	unknown							no	
220	Hildebrand, Hans	human	1842	1913	male	anthropologist ; prehistorian ; archaeologist	Sweden	https://catalogue.bnf.fr/ark:/12148/cb106812924	https://data.bnf.fr/ark:/12148/cb106812924	https://www.wikidata.org/wiki/Q46778	http://isni.org/isni/0000000108773567	http://viaf.org/viaf/20441030		no	
221	Hincks, Edward	human	1792	1866	male	linguist ; assyriologist ; archaeologist	United Kingdom	https://catalogue.bnf.fr/ark:/12148/cb10313511n	https://data.bnf.fr/ark:/12148/cb10313511n	https://www.wikidata.org/wiki/Q454770	http://isni.org/isni/0000000063195694	http://viaf.org/viaf/62328869		yes	
222	Holst (chevalier de)	human	1791	1871	male	unknown	Norway			https://www.wikidata.org/wiki/Q4588577	http://isni.org/isni/0000000140127135	http://viaf.org/viaf/211334893 	https://cths.fr/an/savant.php?id=3841	no	Christiania University secretary
223	Horrack-Lockwood, Lizzie W. de	human	unknown	unknown	female	unknown	France							no	
224	Horrack, Jacques de	human	1820	1902	male	egyptologist	France	https://catalogue.bnf.fr/ark:/12148/cb12335123q	https://data.bnf.fr/ark:/12148/cb12335123q					yes	
225	Hummel et Cie	organisation	unknown	unknown	no	unknown	unknown							no	
226	Husson, Hyacinthe	human	1853	unknown	male	writer	France ; Paris			https://www.wikidata.org/wiki/Q17378068	http://isni.org/isni/0000000061935273	http://viaf.org/viaf/89044081	https://cths.fr/an/savant.php?id=110066	yes	
227	Hutteau, A.	human	unknown	unknown	unknown	unknown	unknown							no	
228	Issaverdens, Jacques	human	unknown	unknown	male	unknown	unknown							no	
229	Jacquel	human	unknown	unknown	unknown	unknown	unknown							no	
230	Jeannin, O. (docteur)	human	unknown	unknown	male	doctor	France ; Saône-et-Loire							no	Jeannin, D., from Montceau-les-Mines (Sâone-et-Loire)
231	Jutier, Sylvain Charles Prosper	human	1826	unknown	male	engineer	France			https://www.wikidata.org/wiki/Q3507029				no	Given in brackets by the catalogue
232	Kaltbrummer/Kaltbrunner, Ferd.	human	unknown	unknown	unknown	unknown	Switzerland							no	From Zürich (Switzerland) 
233	L'Année	organisation	unknown	unknown	no	unknown	France							no	
234	L'Année archéologique et philologique	organisation	unknown	unknown	no	unknown	France							no	
235	Napoléon III	human	1808	1873	male	politician ; monarch	France	https://catalogue.bnf.fr/ark:/12148/cb12462544v	https://data.bnf.fr/ark:/12148/cb12462544v	https://www.wikidata.org/wiki/Q7721	http://isni.org/isni/0000000121429066	http://viaf.org/viaf/88934487		no	
236	L'un des directeurs du Polyibiblion	organisation	unknown	unknown	male	unknown	France	https://catalogue.bnf.fr/ark:/12148/cb32841049f	https://data.bnf.fr/ark:/12148/cb32841049f	https://www.wikidata.org/wiki/Q28955652				no	
237	La Loyère, Monsieur et Mme P. de	human	unknown	unknown	unknown	unknown	unknown							no	
238	La Saussaye, Louis de	human	1801	1878	male	numismatist ; historian ; librarian ; politician	France ; Rhône	https://catalogue.bnf.fr/ark:/12148/cb13174371h	https://data.bnf.fr/ark:/12148/cb13174371h	https://www.wikidata.org/wiki/Q3263501	http://isni.org/isni/0000000122816981	http://viaf.org/viaf/71531035	https://cths.fr/an/savant.php?id=107598	no	
239	Lalanne, Ludovic	human	1815	1898	male	librarian ; historian	France ; Paris	https://catalogue.bnf.fr/ark:/12148/cb124250880	https://data.bnf.fr/ark:/12148/cb124250880	https://www.wikidata.org/wiki/Q3266138	http://isni.org/isni/0000000108565258	http://viaf.org/viaf/34547903	https://cths.fr/an/savant.php?id=802	no	
240	Lamartine, Alphonse de	human	1790	1869	male	politician ; diplomat ; historian ; writer	France ; Saône-et-Loire ; Paris	https://catalogue.bnf.fr/ark:/12148/cb119108008	https://data.bnf.fr/ark:/12148/cb119108008	https://www.wikidata.org/wiki/Q188697	http://isni.org/isni/0000000121441161	http://viaf.org/viaf/95150108	https://cths.fr/an/savant.php?id=124294	no	
241	Lambert, Gustave	human	1818	1898	male	historian	France	https://catalogue.bnf.fr/ark:/12148/cb10528830h	https://data.bnf.fr/ark:/12148/cb10528830h				https://cths.fr/an/savant.php?id=101953	no	Historian from Var (there is also an arctic explorer of this name)
242	Langlois, Victor	human	1829	1869	male	orientalist ; archaeologist ; numismatist ; historian	France	https://catalogue.bnf.fr/ark:/12148/cb119109774	https://data.bnf.fr/ark:/12148/cb119109774	https://www.wikidata.org/wiki/Q2522463	http://isni.org/isni/0000000118390172	http://viaf.org/viaf/88036457		no	
